dataset,populationSize,numGenerations,numFeatures,avgNumSize2ShapeletsInEvolved,tournamentSize,tournamentP,epsilon,evolvedRFAccuracy,exhaustiveRFAccuracy,avgEvolvedTime,avgExhaustiveTime
AUSLAN2,500,200,75,7.2,2,1.0,5,0.45999999999999996,0.0,3.0878957563E9,3.0878957563E9
AUSLAN2,500,200,75,75.0,2,1.0,5,0.475,0.0,1.12456843183E10,1.12456843183E10
AUSLAN2,500,200,75,75.0,2,1.0,5,0.45499999999999996,0.0,1.08100057722E10,1.08100057722E10
PIONEER,500,200,75,75.0,2,1.0,5,0.9875,0.0,1.17222256198E10,1.17222256198E10
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8093877551020409,0.0,2.042997106946E11,2.042997106946E11
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,6.43541600224E10,6.43541600224E10
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,1.40668664418E10,1.40668664418E10
SKATING,500,200,75,75.0,2,1.0,5,0.9735849056603774,0.0,2.560577459735E11,2.560577459735E11
AUSLAN2,500,200,75,75.0,2,1.0,5,0.475,0.0,2.48808291124E10,2.48808291124E10
PIONEER,500,200,75,75.0,2,1.0,5,0.96875,0.0,4.666361336597E11,4.666361336597E11
AUSLAN2,500,200,75,8.4,2,1.0,5,0.475,0.0,8.459934089E8,8.459934089E8
PIONEER,500,200,75,10.0,2,1.0,5,0.93125,0.0,5.12077872E8,5.12077872E8
HEPATITIS,500,200,75,9.8,2,1.0,5,0.7813061224489796,0.0,7.0232513356E9,7.0232513356E9
CONTEXT,500,200,75,9.8,2,1.0,5,1.0,0.0,1.9859524759E9,1.9859524759E9
BLOCKS,500,200,75,8.7,2,1.0,5,1.0,0.0,5.953045754E8,5.953045754E8
SKATING,500,200,75,10.0,2,1.0,5,0.9188679245283019,0.0,7.0748335786E9,7.0748335786E9
AUSLAN2,500,200,75,8.6,2,1.0,5,0.47000000000000003,0.0,8.069377608E8,8.069377608E8
PIONEER,500,200,75,9.9,2,1.0,5,0.94375,0.0,4.830736966E8,4.830736966E8
AUSLAN2,500,200,75,75.0,2,1.0,5,0.505,0.0,1.15488305947E10,1.15488305947E10
PIONEER,500,200,75,75.0,2,1.0,5,1.0,0.0,1.20701826325E10,1.20701826325E10
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8014285714285714,0.0,1.738629670783E11,1.738629670783E11
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,5.12509659983E10,5.12509659983E10
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,1.82384352882E10,1.82384352882E10
SKATING,500,200,75,75.0,2,1.0,5,0.960377358490566,0.0,1.897190316621E11,1.897190316621E11
AUSLAN2,500,200,75,75.0,2,1.0,5,0.475,0.0,2.2244246885E10,2.2244246885E10
PIONEER,500,200,75,75.0,2,1.0,5,0.99375,0.0,2.35913594555E10,2.35913594555E10
HEPATITIS,500,200,75,75.0,2,1.0,5,0.8115102040816327,0.0,3.567952965189E11,3.567952965189E11
CONTEXT,500,200,75,75.0,2,1.0,5,0.9958333333333333,0.0,1.011669343059E11,1.011669343059E11
BLOCKS,500,200,75,75.0,2,1.0,5,1.0,0.0,3.5836491342E10,3.5836491342E10
SKATING,500,200,75,75.0,2,1.0,5,0.9622641509433961,0.0,3.823510214419E11,3.823510214419E11
AUSLAN2,500,200,75,75.0,2,1.0,5,0.49000000000000005,0.0,1.0691715829E9,1.0691715829E9
PIONEER,500,200,75,75.0,2,1.0,5,1.0,0.0,3.794201415E8,3.794201415E8
